,mun_name,year,TOTAL_TAX_SUM,5yr_growth,10yr_growth,15yr_growth,20yr_growth
4426,BOUAFLE,2022,1972612.0,41.31389747748419,71.4397952399369,121.96501872389459,184.19749920400403
4427,BLANGY SUR BRESLE,2022,1972472.0,32.667018208428395,43.087246374708926,43.087246374708926,29.804017828645733
4428,TOUCY,2022,1969709.0,39.51924622976761,49.50863596859096,162.49486926623845,138.2527085593742
4429,CHATILLON SUR LOIRE,2022,1969126.0,21.949355549114763,37.11297135225543,37.11297135225543,135.32211013899726
4430,BELBEUF,2022,1968446.0,53.40444865622277,86.21912305746416,69.24628524950433,65.88904133139614
4431,TOURTOUR,2022,1968348.0,88.28028524011536,123.92145932755807,250.05797699415965,420.04597154519877
4432,LOMBEZ,2022,1968338.0,51.13728940969063,75.90717842575812,152.73726001787347,217.2354327231468
4433,BOUSSOIS,2022,1967926.0,11.213047679866179,28.990363375846695,27.05379070974606,6.24975029289968
4434,DORDIVES,2022,1967659.0,13.111543400855613,22.269600237124823,54.203196352399694,101.74206989605612
4435,LA JARRIE,2022,1966862.0,20.26787313937071,45.15008257973483,125.91483550247466,155.64080401879423
4436,MONTMEYRAN,2022,1966793.0,27.093548628899477,53.95941212156794,148.31583240010454,227.95734605059113
4437,BAILLET EN FRANCE,2022,1966696.0,35.73839781846341,59.038666035912556,59.038666035912556,222.6805493800524
4438,BEINHEIM,2022,1965722.0,-15.561443321731055,-10.06260820549986,-33.97637659074444,-19.618284151521745
4439,ST DREZERY,2022,1965471.0,24.98289448248497,44.75387427621995,44.75387427621995,257.7408210960081
4440,LE SOURN,2022,1961215.0,22.004043545878694,31.658568415342952,2.601642178724918,41.65388237877317
4441,QUINCAMPOIX,2022,1961000.0,48.64990861934481,74.241414545293,147.25354394644899,192.71059564591124
4442,PERON,2022,1960650.0,46.570052209483826,80.20332328144401,209.68209667407444,332.87381495922176
4443,CIRES LES MELLO,2022,1959770.0,-2.086110383887478,9.631165309075897,9.631165309075897,133.67956148938123
4444,PUYMOYEN,2022,1959073.0,15.975761436269876,25.68593800622953,-3.1867615424111677,32.56909881409552
4445,MAYET,2022,1958370.0,24.74878189076543,66.74059877343655,51.428010280931716,82.91668028786655
4446,JAUSIERS,2022,1958366.0,55.31259343383675,90.86885627766131,188.5211267605634,252.48212270492968
4447,ST BONNET EN CHAMPSAUR,2022,1957694.0,54.797454852251285,86.17682525553387,86.17682525553387,207.61666669285535
4448,PALAU DEL VIDRE,2022,1957678.0,25.98319089785832,37.58608451199157,37.58608451199157,232.4634875348142
4449,MALESTROIT,2022,1957550.0,15.003607172986857,23.487747426536917,48.82724088565722,88.72826908541194
4450,VERQUIGNEUL,2022,1957347.0,9.526991070963929,26.586300448502996,5.507973684281453,5.507973684281453
4451,SOURDEVAL,2022,1956517.0,19.438846803993183,52.179496353635166,79.87752069975564,120.96351225594275
4452,LES MONTS D'AUNAY,2022,1956409.0,30.111442824450783,30.111442824450783,30.111442824450783,30.111442824450783
4453,ELEU DIT LEAUWETTE,2022,1955737.0,5.393010900159027,22.051019943297305,22.051019943297305,58.2784018853525
4454,NARROSSE,2022,1955701.0,23.31945251916599,50.61870160076091,136.10965565699468,175.14469815275962
4455,AMANCY,2022,1955393.0,43.856960615392765,96.97743223273118,176.4189244587943,285.74909056475735
4456,VERMELLES,2022,1953636.0,1.7799705126936083,20.847251295298328,69.22142773617674,104.96261410644725
4457,LASSAY LES CHATEAUX,2022,1953608.0,17.855919074530775,24.478426949825895,24.478426949825895,94.6536233862378
4458,VIC SUR CERE,2022,1953593.0,38.432131448639055,41.06250717554099,41.06250717554099,92.82937855337966
4459,CHAVELOT,2022,1953326.0,71.62606347786587,130.78948021366617,109.41244579288461,115.13893585127602
4460,ST NICOLAS DE LA GRAVE,2022,1952753.0,53.38362460009567,66.95933132580596,66.95933132580596,191.53573518697672
4461,FIGANIERES,2022,1952203.0,39.54104917953106,65.96061395641436,148.25344142425686,189.68519301681988
4462,PITHIVIERS LE VIEIL,2022,1952095.0,19.221300487183417,19.538147163158566,19.538147163158566,66.19614106573198
4463,MONT-PRES-CHAMBORD,2022,1951983.0,14.98160985080535,39.383053243790364,86.92696856784158,121.551898303161
4464,TERRANJOU,2022,1951452.0,18.113407396871416,18.113407396871416,18.113407396871416,18.113407396871416
4465,PITRES,2022,1950531.0,35.68826351695885,49.26307073755677,60.77399434394455,106.44865273358863
4466,AMBRONAY,2022,1950437.0,46.11919456168819,69.04668630057914,172.98730963401303,211.9486343709566
4467,VIVIER AU COURT,2022,1949483.0,14.844494662143932,14.364063969344649,14.364063969344649,24.318014567558297
4468,IFFENDIC,2022,1948669.0,0.6006605975940535,14.872740177272437,48.63615179785711,105.29052648213015
4469,SANCOINS,2022,1947535.0,9.664244805612006,19.014619438114426,109.29309103414184,113.37821773499942
4470,MONNETIER-MORNEX,2022,1946503.0,46.385197407260065,69.42362979448986,158.7306334471135,281.25833664677293
4471,ROMANECHE THORINS,2022,1945756.0,41.48904994840747,78.84855253300978,78.84855253300978,107.69684839751288
4472,TOSSE,2022,1945341.0,31.891012711522542,44.59567136377759,131.5672629619225,364.21206357993907
4473,FRANOIS,2022,1942249.0,41.93296390673379,76.39298078634664,58.25058562320494,190.8490145046467
