,mun_name,year,TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,yr_growth
13283,CHAZELLES,2011,141876.0,5653.284671532847
60245,SIREUIL,2011,96077.0,5629.0995825879545
53019,SAINT-GERMAIN-L'HERM,2011,60693.0,5609.5954844778935
41613,MOUTHIERS-SUR-BOEME,2011,216729.0,5597.397476340694
18507,ECHANDELYS,2011,28377.0,5575.4
38915,MILLERY,2011,422943.0,5567.198177676538
45929,PLASSAC-ROUFFIAC,2011,22438.0,5566.161616161616
52237,SAINT-ELOY-LA-GLACIERE,2011,7164.0,5540.944881889764
50823,SAINT-AMANT-ROCHE-SAVINE,2011,52422.0,5506.63101604278
48065,QUILLY,2011,57438.0,5471.096023278371
40057,MONTCEL,2011,94032.0,5450.885478158205
21709,FOURNOLS,2011,43372.0,5418.066157760814
14861,CONDAT-LES-MONTBOISSIER,2011,21137.0,5361.757105943153
14363,CLUCY,2011,7590.0,5360.431654676259
57053,SAINT-SULPICE,2011,1037593.0,5314.281987059069
35309,LOUHOSSOA,2011,53558.0,5309.89898989899
50703,SAINT-AIGNAN,2011,401403.0,5306.10101010101
29297,LA SALLE,2011,62575.0,5285.111876075732
10005,CAMBO-LES-BAINS,2011,729524.0,5281.557981705518
11287,CERNANS,2011,13538.0,5250.98814229249
66491,VILLERET,2011,17631.0,5242.727272727273
5869,BERTIGNAT,2011,47172.0,5236.1990950226245
33171,LEMUY,2011,23461.0,5232.045454545455
19519,ESPELETTE,2011,188582.0,5212.169014084507
30983,LARRESSORE,2011,167962.0,5210.211824217515
18141,DOURNON,2011,9924.0,5178.723404255319
63531,USTARITZ,2011,746612.0,5176.782811506114
24859,HALSOU,2011,56599.0,5169.925512104283
11737,CHAMBON-SUR-DOLORE,2011,13701.0,5169.615384615385
4415,BASSUSSARRY,2011,398196.0,5141.490061866526
13171,CHAUX-CHAMPAGNY,2011,5608.0,5141.121495327103
60801,SOURAIDE,2011,109309.0,5135.105363984675
16451,CRISSEY,2011,294387.0,5119.6276595744675
26607,JATXOU,2011,95977.0,5113.307984790875
22915,GERAISE,2011,3538.0,5102.941176470588
47401,PRETIN,2011,6593.0,5091.3385826771655
1831,ARESCHES,2011,3305.0,5064.0625
26413,ITXASSOU,2011,163513.0,5061.395202020202
1713,ARCANGUES,2011,571410.0,5051.086270621112
39643,MONT-D'ASTARAC,2011,8052.0,5028.662420382166
37171,MARNOZ,2011,48834.0,5013.507853403142
57175,SAINT-THIEBAUD,2011,6902.0,5012.592592592593
23977,GRANDVAL,2011,8882.0,5004.597701149425
46607,PONT-D'HERY,2011,17547.0,5000.872093023256
9217,BRUE-AURIAC,2011,132471.0,4998.9607390300225
58053,SAIZENAY,2011,9328.0,4997.267759562842
323,AIGREMONT,2011,63344.0,4967.5199999999995
58997,SAVENNES,2011,31715.0,4926.148969889065
26431,IVREY,2011,6430.0,4923.4375
291,AIGLEPIERRE,2011,43450.0,4923.121387283237
58147,SALINS-LES-BAINS,2011,309279.0,4919.948060379808
28079,LA CHAPELLE-SUR-FURIEUSE,2011,26315.0,4874.480151228733
29985,LAFARRE,2011,15158.0,4869.836065573771
8355,BRACON,2011,39426.0,4834.418022528161
29241,LA ROMAGNE,2011,110828.0,4821.314387211368
41785,MURAT,2011,230995.0,4812.696724797958
53517,SAINT-JEAN-AUX-BOIS,2011,89611.0,4772.811310494834
61799,THESY,2011,4411.0,4747.252747252747
37077,MARINGES,2011,47810.0,4709.859154929578
37507,MASSEUBE,2011,172433.0,4700.473273942093
2407,ASPREMONT,2011,411379.0,4669.611594202899
11165,CELLETTES,2011,230498.0,4634.963023829087
4307,BARSAC,2011,154333.0,4634.141104294478
339,AIGUES-VIVES,2011,497248.0,4621.754819105498
28693,LA HOUSSAYE-EN-BRIE,2011,39007.0,4593.983152827918
13771,CHILLY-SUR-SALINS,2011,7712.0,4573.939393939394
21833,FRANCOIS,2011,1466831.0,4557.1977393954785
14151,CLARET,2011,111546.0,4528.464730290457
59375,SEILLONS-SOURCE-D'ARGENS,2011,212756.0,4481.309216192937
55407,SAINT-MEDARD-EN-FOREZ,2011,89574.0,4463.117677024961
59883,SERVAS,2011,104324.0,4461.609094884127
21741,FOX-AMPHOUX,2011,66875.0,4452.416609938734
30045,LAGARRIGUE,2011,195052.0,4442.431299487657
39759,MONTAGNE,2011,124394.0,4439.92700729927
13289,CHAZELLES-SUR-LYON,2011,451023.0,4436.998289910472
44545,PANASSAC,2011,21011.0,4428.232758620689
5045,BEAUVILLIERS,2011,31589.0,4425.644699140401
44837,PAULHAC,2011,194412.0,4405.492468134415
46759,PONTEVES,2011,90388.0,4383.5317460317465
64085,VARAGES,2011,135650.0,4373.944591029023
45,ABERGEMENT-LES-THESY,2011,3842.0,4367.441860465116
12975,CHATONNAY,2011,124832.0,4364.6638054363375
8471,BRAS,2011,195181.0,4361.28
4219,BARJOLS,2011,296341.0,4354.915814792544
21377,FONTENAY-TRESIGNY,2011,122362.0,4331.800072437522
61473,TAVERNES,2011,151406.0,4325.781935106695
31057,LASSEUBE-PROPRE,2011,27934.0,4319.93670886076
2841,AUJAN-MOURNEDE,2011,4985.0,4311.504424778761
21615,FOUILLOY,2011,172796.0,4297.963858488165
28553,LA GIMOND,2011,21451.0,4295.696721311475
40713,MONTMEYAN,2011,67019.0,4243.421905379132
47371,PRESLES-EN-BRIE,2011,49033.0,4220.0881057268725
6327,BEZUES-BAJON,2011,16443.0,4215.748031496063
47187,PRADINES,2011,469255.0,4206.672173274596
18431,DURY,2011,269992.0,4202.661354581673
58265,SAMARAN,2011,7508.0,4190.285714285715
67123,VIRIGNEUX,2011,40273.0,4188.924387646432
